Date,First-Time Downloads
12/16/23,4178.0
12/17/23,3246.0
12/18/23,3050.0
12/19/23,3197.0
12/20/23,3123.0
12/21/23,3403.0
12/22/23,3365.0
12/23/23,2772.0
12/24/23,1667.0
12/25/23,1836.0
12/26/23,2930.0
12/27/23,4104.0
12/28/23,4066.0
12/29/23,3756.0
12/30/23,3178.0
12/31/23,2507.0
1/1/24,2979.0
1/2/24,3685.0
1/3/24,3398.0
1/4/24,3422.0
1/5/24,3371.0
1/6/24,3008.0
1/7/24,2697.0
1/8/24,2712.0
1/9/24,2618.0
1/10/24,2599.0
1/11/24,2628.0
1/12/24,2911.0
1/13/24,2980.0
1/14/24,2673.0
1/15/24,2820.0
1/16/24,2933.0
1/17/24,2668.0
1/18/24,3441.0
1/19/24,3276.0
1/20/24,3241.0
1/21/24,3065.0
1/22/24,3095.0
1/23/24,3624.0
1/24/24,3117.0
1/25/24,3188.0
1/26/24,3671.0
1/27/24,3590.0
1/28/24,2945.0
1/29/24,2988.0
1/30/24,2753.0
1/31/24,2885.0
2/1/24,2999.0
2/2/24,3233.0
2/3/24,3144.0
2/4/24,2874.0
2/5/24,2835.0
2/6/24,2932.0
2/7/24,2960.0
2/8/24,3013.0
2/9/24,3648.0
2/10/24,3718.0
2/11/24,3602.0
2/12/24,3782.0
2/13/24,3738.0
2/14/24,3558.0
2/15/24,3639.0
2/16/24,3788.0
2/17/24,3386.0
2/18/24,2921.0
2/19/24,3016.0
2/20/24,3042.0
2/21/24,3142.0
2/22/24,3088.0
2/23/24,3393.0
2/24/24,3242.0
2/25/24,2765.0
2/26/24,2855.0
2/27/24,2855.0
2/28/24,2902.0
2/29/24,3106.0
3/1/24,3258.0
3/2/24,3371.0
3/3/24,3006.0
3/4/24,3037.0
3/5/24,2878.0
3/6/24,3054.0
3/7/24,2777.0
3/8/24,3121.0
3/9/24,3222.0
3/10/24,2681.0
3/11/24,2781.0
3/12/24,2765.0
3/13/24,2705.0
3/14/24,2927.0
3/15/24,3283.0
